DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
03/29/2024,1,4,FLCNS_UNIT2,PCCRN,-0.19,N
03/29/2024,1,4,FLCNS_UNIT3,PCCRN,-0.19,N
03/29/2024,1,4,FLOWERII_RN,RN,12.79,N
03/29/2024,1,4,FLTBES1,RN,12.79,N
03/29/2024,1,4,FLTCK_SSI,RN,-1.1,N
03/29/2024,1,4,FLUVANNA_1_2,RN,-5.39,N
03/29/2024,1,4,FLVABES1_ESR,RN,12.79,N
03/29/2024,1,4,FOARDCTY_ALL,RN,-5.34,N
03/29/2024,1,4,FORMOSA_CC1,LCCRN,25.53,N
03/29/2024,1,4,FORMOSA_CC2,LCCRN,25.53,N
03/29/2024,1,4,FORMOSA_PUN1,PUN,25.53,N
03/29/2024,1,4,FORMOSA_PUN2,PUN,25.53,N
03/29/2024,1,4,FOXTROT_ALL,RN,-13.72,N
03/29/2024,1,4,FO_FORMOSA11,RN,25.53,N
03/29/2024,1,4,FO_FORMOSA12,RN,25.53,N
03/29/2024,1,4,FO_FORMOSG1,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG10,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG13,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG14,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG15,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG2,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG3,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG4,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG5,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG6,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG7,PCCRN,25.53,N
03/29/2024,1,4,FO_FORMOSG8,RN,25.53,N
03/29/2024,1,4,FO_FORMOSG9,PCCRN,25.53,N
03/29/2024,1,4,FPPYD_FPP_G1,RN,4.19,N
03/29/2024,1,4,FPPYD_FPP_G2,RN,4.19,N
03/29/2024,1,4,FPPYD_FPP_G3,RN,4.19,N
03/29/2024,1,4,FREC_1_CCU,PCCRN,3.21,N
03/29/2024,1,4,FREC_2_CCU,PCCRN,3.28,N
03/29/2024,1,4,FREC_CC1,LCCRN,3.21,N
03/29/2024,1,4,FREC_CC2,LCCRN,3.28,N
03/29/2024,1,4,FRMRSVLW_RN,RN,2.95,N
03/29/2024,1,4,FRNYPP_1_CCU,PCCRN,3,N
03/29/2024,1,4,FRNYPP_2_CCU,PCCRN,3,N
03/29/2024,1,4,FRNYPP_CC1,LCCRN,3,N
03/29/2024,1,4,FRNYPP_CC2,LCCRN,3,N
03/29/2024,1,4,FRONT_EC_CC1,LCCRN,-9.82,N
03/29/2024,1,4,FRONT_EC_RN1,PCCRN,-9.82,N
03/29/2024,1,4,FRONT_EC_RN2,PCCRN,-9.82,N
03/29/2024,1,4,FRONT_EC_RN3,PCCRN,-9.82,N
03/29/2024,1,4,FRYE_SLR_ALL,RN,-5.28,N
03/29/2024,1,4,FTR_CC1,LCCRN,3.74,N
03/29/2024,1,4,FTR_FTR_G1_4,PCCRN,3.74,N
03/29/2024,1,4,FTWIND_UNIT1,RN,-5.14,N
03/29/2024,1,4,FWLR_SLR_1,RN,11.29,N
03/29/2024,1,4,GALO_RN1,RN,-5.93,N
03/29/2024,1,4,GAMBIT_RN,RN,4.81,N
03/29/2024,1,4,GARC_BESS_RN,RN,-9.67,N
03/29/2024,1,4,GBY_GT,RN,4.04,N
03/29/2024,1,4,GID_GIDEONG1,RN,4.11,N
03/29/2024,1,4,GID_GIDEONG2,RN,4.11,N
03/29/2024,1,4,GID_GIDEONG3,RN,4.11,N
03/29/2024,1,4,GIGA_ESS_RN,RN,3.48,N
03/29/2024,1,4,GOA_GOATWIND,RN,-6.52,N
03/29/2024,1,4,GOLINDA_UN1,RN,3.22,N
03/29/2024,1,4,GOMZ_RN,RN,12.19,N
03/29/2024,1,4,GOODNIT1_ALL,RN,-5.29,N
03/29/2024,1,4,GPASTURE_ALL,RN,-5.51,N
03/29/2024,1,4,GRANDVW1_A_B,RN,-5.29,N
03/29/2024,1,4,GRDNE_ESR_RN,RN,0.9,N
03/29/2024,1,4,GREASWOD_ALL,RN,12.49,N
03/29/2024,1,4,GREGORY_RN,RN,-1.48,N
03/29/2024,1,4,GRIF_TRL_RN,RN,-5.44,N
03/29/2024,1,4,GRSES_UNIT1,RN,-4.48,N
03/29/2024,1,4,GRSES_UNIT2,RN,-5.41,N
03/29/2024,1,4,GUADG_CC1,LCCRN,3.42,N
03/29/2024,1,4,GUADG_CC2,LCCRN,3.42,N
03/29/2024,1,4,GUADG_CCU1,PCCRN,3.42,N
03/29/2024,1,4,GUADG_CCU2,PCCRN,3.42,N
03/29/2024,1,4,GUNMTN_NODE,RN,-1.08,N
03/29/2024,1,4,GWEC_G1,RN,-0.62,N
03/29/2024,1,4,HALO_RN1,RN,3.41,N
03/29/2024,1,4,HAMI_BESS_RN,RN,9.12,N
03/29/2024,1,4,HAYSEN1_2,RN,3.54,N
03/29/2024,1,4,HAYSEN3_4,RN,3.54,N
03/29/2024,1,4,HB_BUSAVG,SH,1.91,N
03/29/2024,1,4,HB_HOUSTON,HU,4.03,N
03/29/2024,1,4,HB_HUBAVG,AH,1.39,N
03/29/2024,1,4,HB_NORTH,HU,2.93,N
03/29/2024,1,4,HB_PAN,HU,-5.29,N
03/29/2024,1,4,HB_SOUTH,HU,-0.31,N
03/29/2024,1,4,HB_WEST,HU,-1.08,N
03/29/2024,1,4,HELIOS_RN,RN,-0.63,N
03/29/2024,1,4,HHGT_KENDAL,RN,3.55,N
